,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tmdb_ratings,images
810,810,810,810,David Pastor,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,Drama Horror Sci-Fi Thriller,carriers,5.8,https://m.media-amazon.com/images/M/MV5BNDNmMDAwMzgtYzA4MC00MWM0LWFkNDMtMmFjNmFhNjRlOTk1XkEyXkFqcGdeQXVyNzMzMjU5NDY@.jpg
811,811,811,811,Henry Selick,Brendan Fraser,Bridget Fonda,Megan Mullally,Animation Comedy Fantasy,monkeybone,5.0,https://m.media-amazon.com/images/M/MV5BZjZiODk2MDMtNjI2OS00MTEzLWFlY2UtMzNhODE5MzNlM2Y0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
812,812,812,812,John Moore,Dennis Quaid,Tony Curran,Miranda Otto,Action Adventure Drama Thriller,flight of the phoenix,5.9,https://m.media-amazon.com/images/M/MV5BMTYyMjY4MzcwNF5BMl5BanBnXkFtZTcwNDQ5MzcyMQ@@.jpg
813,813,813,813,M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,Drama Mystery Sci-Fi Thriller,unbreakable,7.1,https://m.media-amazon.com/images/M/MV5BMDIwMjAxNzktNmEzYS00ZDY5LWEyZjktM2Y0MmUzZDkyYmZkXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
814,814,814,814,Kyle Balda,Steve Carell,Jon Hamm,Steve Coogan,Action Animation Comedy Family Sci-Fi,minions,6.4,https://m.media-amazon.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@.jpg
815,815,815,815,Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,Action Fantasy,sucker punch,6.1,https://m.media-amazon.com/images/M/MV5BNDEwNGRlNjQtZjI4OC00ZmMxLWEyYmQtNGI1NDk4YmUyYTNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@.jpg
816,816,816,816,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,Crime Mystery Thriller,snake eyes,6.0,https://m.media-amazon.com/images/M/MV5BNTA0OGYzZDQtNDQ1Ny00OTRkLTg4NzMtYjhlMGVkZTA3N2Q1XkEyXkFqcGdeQXVyMDU4MTQ0Ng@@.jpg
817,817,817,817,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,Drama Mystery Sci-Fi Thriller,sphere,6.1,https://m.media-amazon.com/images/M/MV5BMTYyMTBlM2UtNWE1Ni00ZDg4LTliODQtYTFhZWIwNTAyNTg3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
818,818,818,818,Clay Kaytis,Peter Dinklage,Josh Gad,Keegan-Michael Key,Action Animation Comedy Family,the angry birds movie,7.2,https://m.media-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@.jpg
819,819,819,819,Andy Tennant,Matthew McConaughey,Ray Winstone,Alexis Dziena,Action Adventure Comedy Romance Thriller,fool's gold,5.6,https://m.media-amazon.com/images/M/MV5BMTg3NTQ2MDY4OF5BMl5BanBnXkFtZTcwOTAzMjU1MQ@@.jpg
820,820,820,820,Judd Apatow,Adam Sandler,RZA,Maude Apatow,Comedy Drama,funny people,5.8,https://m.media-amazon.com/images/M/MV5BNWU0ZDllZWEtNWI4ZC00YjIzLTk3YjMtZmE0MmFiNzg4MmRlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
821,821,821,821,Peter Berg,Jennifer Garner,Frances Fisher,Tim McGraw,Action Drama Thriller,the kingdom,6.6,https://m.media-amazon.com/images/M/MV5BMjA1MDIzOTYwMV5BMl5BanBnXkFtZTcwMTM5OTA1MQ@@.jpg
822,822,822,822,Adam McKay,Will Ferrell,Leslie Bibb,Gary Cole,Action Comedy Sport,talladega nights: the ballad of ricky bobby,6.3,https://m.media-amazon.com/images/M/MV5BNzAzOTk1OTIyM15BMl5BanBnXkFtZTcwNDIzNTQzMQ@@.jpg
823,823,823,823,Steve Carr,Raven-Symonýý,Jeffrey Jones,Kevin Pollak,Comedy Family Fantasy,dr. dolittle 2,5.2,https://m.media-amazon.com/images/M/MV5BYTZhMWZkYjgtNjE5MS00OWY4LWFmMWQtMDc4M2RlMjg4Y2NhXkEyXkFqcGdeQXVyNTUyMzE4Mzg@.jpg
824,824,824,824,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,Biography Drama History War,braveheart,7.9,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
825,825,825,825,Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,Action Drama War,jarhead,6.6,https://m.media-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
826,826,826,826,David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,Adventure Animation Comedy,the simpsons movie,7.0,https://m.media-amazon.com/images/M/MV5BMTgxMDczMTA5N15BMl5BanBnXkFtZTcwMzk1MzMzMw@@.jpg
827,827,827,827,Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Drama Romance,the majestic,6.7,https://m.media-amazon.com/images/M/MV5BYjJjZDQ0NzktMDI3MC00NzE1LWJkNGEtYTM5NGQ1NDg2M2ViXkEyXkFqcGdeQXVyNzQwNzQwMjA@.jpg
828,828,828,828,Renny Harlin,Sylvester Stallone,Estella Warren,Cristiýýn de la Fuente,Action Drama Sport,driven,4.9,https://m.media-amazon.com/images/M/MV5BMDFlMzM5YjctZjRlMC00MzAzLWFjODctN2MzMWE3MDBlOGNlXkEyXkFqcGdeQXVyMzQwMTY2Nzk@.jpg
829,829,829,829,Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Adventure Drama Family,two brothers,7.0,https://m.media-amazon.com/images/M/MV5BNTMzOTA3NDcxMl5BMl5BanBnXkFtZTcwMTY5NDUyMQ@@.jpg
830,830,830,830,M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,Drama Mystery Romance Thriller,the village,6.4,https://m.media-amazon.com/images/M/MV5BMWExMWYxN2MtYmU1YS00Mjk5LWI3OTEtYTg3NDIwZTA2MTE2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
831,831,831,831,Betty Thomas,Oliver Platt,Raven-Symonýý,Peter Boyle,Comedy Family Fantasy,doctor dolittle,5.6,https://m.media-amazon.com/images/M/MV5BNGVmYjI4ZjktMjVkNi00ZTRlLWJlYTMtNzMxYjQ0ZDIyZWNmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@.jpg
832,832,832,832,M. Night Shyamalan,Rory Culkin,Merritt Wever,Cherry Jones,Drama Sci-Fi Thriller,signs,6.6,"https://m.media-amazon.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_SY150_CR0,0,101,150_.jpg.jpg"
833,833,833,833,Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,Adventure Animation Comedy Family Fantasy Romance,shrek 2,7.1,https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
834,834,834,834,John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,Adventure Animation Comedy Family Sport,cars,6.8,"https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SY150_CR0,0,101,150_.jpg.jpg"
835,835,835,835,Garry Marshall,Julia Roberts,Christopher Meloni,Hector Elizondo,Comedy Romance,runaway bride,6.0,https://m.media-amazon.com/images/M/MV5BYjg3MGIwYTctMDllOC00ZmQ5LThiNmYtYjYxNzEyNTA3ZjdlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
836,836,836,836,Rob Cohen,Vin Diesel,Eve,Leila Arcieri,Action Adventure Thriller,xxx,5.1,https://m.media-amazon.com/images/M/MV5BNzZjZmM1ZDctNDhlZi00Mzk1LWFjNWItYzIxNGY2OWYzYjJmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@.jpg
837,837,837,837,Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,Adventure Animation Comedy Family Fantasy,the spongebob movie: sponge out of water,6.0,https://m.media-amazon.com/images/M/MV5BMjYyNDczNTE0MF5BMl5BanBnXkFtZTgwNjkzNDYxMzE@.jpg
838,838,838,838,Ron Howard,Lili Taylor,Delroy Lindo,Rene Russo,Crime Thriller,ransom,6.6,https://m.media-amazon.com/images/M/MV5BZTc0ZjNkYTktMmJmOS00OTJlLTg1NWUtMzQ5ZGMxM2NhY2M0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
839,839,839,839,Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,Adventure Drama War,inglourious basterds,8.2,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
840,840,840,840,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,Adventure Comedy Family Fantasy,hook,6.9,https://m.media-amazon.com/images/M/MV5BNmJjNTQzMjctMmE2NS00ZmYxLWE1NjYtYmRmNjNiMzljOTc3XkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
841,841,841,841,Renny Harlin,Bruce Willis,John Amos,Franco Nero,Action Thriller,die hard 2,6.9,https://m.media-amazon.com/images/M/MV5BMzMzYzk3ZTEtZDg0My00MTY5LWE3ZmQtYzNhYjhjN2RhZGRjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
842,842,842,842,Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,Action Adventure Crime Thriller,s.w.a.t.,6.0,https://m.media-amazon.com/images/M/MV5BMTJkMGQxMGItMTlkOC00YWYzLWJhMDEtOTliNjcwNGM1MmFhXkEyXkFqcGdeQXVyNjg4NzAyOTA@.jpg
843,843,843,843,Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,Fantasy Mystery Romance Sci-Fi Thriller,vanilla sky,6.8,https://m.media-amazon.com/images/M/MV5BYzFlMTJjYzUtMWFjYy00NjkyLTg1Y2EtYmZkMjdlOGQ1ZGYwL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
844,844,844,844,M. Night Shyamalan,Bryce Dallas Howard,Freddy Rodrýýguez,Bob Balaban,Drama Fantasy Mystery Thriller,lady in the water,5.5,https://m.media-amazon.com/images/M/MV5BMjEyNTc0NTk5M15BMl5BanBnXkFtZTcwMDE5NzkyMw@@.jpg
845,845,845,845,Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,Action Horror Sci-Fi Thriller,avp: alien vs. predator,5.8,"https://m.media-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_SY150_CR0,0,101,150_.jpg.jpg"
846,846,846,846,Betty Thomas,Amy Poehler,Bridgit Mendler,Jesse McCartney,Animation Comedy Family Fantasy Music,alvin and the chipmunks: the squeakquel,5.6,https://m.media-amazon.com/images/M/MV5BMGM5Zjg0MzktYmZmZC00OWU5LTgzZDQtODM1NjdjMGE4ZDVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
847,847,847,847,Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,Action Drama History War,we were soldiers,7.0,https://m.media-amazon.com/images/M/MV5BZTk3NTc4MTktNjFmZC00ZjdjLWE0ZjgtNTM4NzdmMDBjOTcxXkEyXkFqcGdeQXVyNDkzNTM2ODg@.jpg
848,848,848,848,Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,Action Thriller,olympus has fallen,6.3,https://m.media-amazon.com/images/M/MV5BNTU0NmY4MWYtNzRlMS00MDkxLWJkODYtOTM3NGI2ZDc1NTJhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg
849,849,849,849,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,Action Adventure Sci-Fi Thriller,star trek: insurrection,6.4,https://m.media-amazon.com/images/M/MV5BNWEzZDI0NjEtY2FkMC00ZjQwLWI2YzgtZDEyMzMwZmRlZDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
850,850,850,850,Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,Action Sci-Fi,battle los angeles,5.7,https://m.media-amazon.com/images/M/MV5BMDg2NzQwOGMtMGRkNC00YjAwLTg4NjgtZWQwYzljZmM1YzA4XkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
851,851,851,851,Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,Adventure Drama Fantasy,big fish,7.8,https://m.media-amazon.com/images/M/MV5BMmU3NzIyODctYjVhOC00NzBmLTlhNWItMzBlODEwZTlmMjUzXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg
852,852,852,852,Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,Drama Horror Romance Thriller,wolf,8.0,https://m.media-amazon.com/images/M/MV5BOTY0NThjZjQtMGM2My00ZjkyLWE4MWYtNmRjMWMwYmU3NmI0XkEyXkFqcGdeQXVyOTQ1Mzg0Mzg@.jpg
853,853,853,853,Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Drama War,war horse,7.3,https://m.media-amazon.com/images/M/MV5BMjExNzkxOTYyNl5BMl5BanBnXkFtZTcwODA0MjU4Ng@@.jpg
854,854,854,854,George Clooney,Bill Murray,Matt Damon,Bob Balaban,Drama War,the monuments men,6.0,https://m.media-amazon.com/images/M/MV5BMjMxMjk4NTM1M15BMl5BanBnXkFtZTgwNjg0MjQ3MDE@.jpg
855,855,855,855,James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,Adventure Drama Sci-Fi Thriller,the abyss,7.3,https://m.media-amazon.com/images/M/MV5BYWMzMDNlMDQtMTYyYi00OTM3LTllZDYtYThhMTk5MzNhZTRhXkEyXkFqcGdeQXVyMDUyOTUyNQ@@.jpg
856,856,856,856,Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,Drama,wall street: money never sleeps,6.0,https://m.media-amazon.com/images/M/MV5BMTU5MDEzMzYwMF5BMl5BanBnXkFtZTcwNTcwMjUxMw@@.jpg
857,857,857,857,Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,Action Drama Fantasy Horror War,dracula untold,6.3,https://m.media-amazon.com/images/M/MV5BMTkzNzI1OTI4N15BMl5BanBnXkFtZTgwNTQ2NzEwMjE@.jpg
858,858,858,858,Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,Action Thriller,the siege,6.3,https://m.media-amazon.com/images/M/MV5BZWFiOTFkNTYtMmUyNy00OTVjLTlhMjItN2QyZGMzNzY1NTZiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg
859,859,859,859,Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,Adventure Family Fantasy Romance,stardust,7.2,https://m.media-amazon.com/images/M/MV5BNWI1YTNmYWMtNzY2NS00MGM1LTg1MjYtMzg5M2Q5ZmE4NDA2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg
860,860,860,860,Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War,seven years in tibet,7.2,https://m.media-amazon.com/images/M/MV5BYmM4ZDhhNmItMDEyZi00NDUyLTk3MzUtMzE5NTE1ZWM0N2UyXkEyXkFqcGdeQXVyNjUwNzk3NDc@.jpg
861,861,861,861,Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,Comedy Drama,the dilemma,5.3,https://m.media-amazon.com/images/M/MV5BMzg3MDUwMTI1OV5BMl5BanBnXkFtZTcwNzY0NDIxNA@@.jpg
862,862,862,862,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action Adventure Comedy Thriller,bad company,5.4,https://m.media-amazon.com/images/M/MV5BMzY0YTZlNTQtNDg1YS00Y2IzLWJhZDctMmE2MDEzN2IzYzg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
863,863,863,863,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Action Adventure Horror Sci-Fi,doom,4.8,https://m.media-amazon.com/images/M/MV5BN2QwMzZiYmUtNGZhMC00ZjA2LWI2MDYtOWEyNDA4MzYwMTBiXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
864,864,864,864,Betty Thomas,Gary Cole,Phill Lewis,Tate Taylor,Action Adventure Comedy Thriller,i spy,5.4,https://m.media-amazon.com/images/M/MV5BN2YzMzc1MDUtYzE0OS00MWQwLWI0MTEtNWU1ZWM2NTI2NGIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
865,865,865,865,Mýýns Mýýrlind,Theo James,Stephen Rea,Sandrine Holt,Action Fantasy Horror,underworld: awakening,6.3,https://m.media-amazon.com/images/M/MV5BMjAxMjc0ODk0OF5BMl5BanBnXkFtZTcwMTc5NDQwNw@@.jpg
866,866,866,866,Adam Shankman,James Martin Kelly,Shane Hartline,Celina Beach,Comedy Drama Musical Romance,rock of ages,6.2,https://m.media-amazon.com/images/M/MV5BMTg2NDQyODAzNF5BMl5BanBnXkFtZTcwMTg5MDA3Nw@@.jpg
867,867,867,867,Gregory Hoblit,Bruce Willis,Cole Hauser,Rory Cochrane,Drama War,hart's war,6.3,"https://m.media-amazon.com/images/M/MV5BMTYzMDg5ODQ1OF5BMl5BanBnXkFtZTYwMjc2Nzc5._V1_SX101_CR0,0,101,150_.jpg.jpg"
868,868,868,868,Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,Action Crime Thriller,killer elite,6.3,https://m.media-amazon.com/images/M/MV5BMTc4MDAxMjAzNV5BMl5BanBnXkFtZTcwNTY3ODg3NQ@@.jpg
869,869,869,869,John McTiernan,LL Cool J,Chris Klein,Andrew Bryniarski,Action Sci-Fi Sport,rollerball,4.0,https://m.media-amazon.com/images/M/MV5BMjA3OTk4NDE1OV5BMl5BanBnXkFtZTcwODAyOTY2NA@@.jpg
870,870,870,870,Wych Kaosayananda,Talisa Soto,Sandrine Holt,Gregg Henry,Action Crime Sci-Fi Thriller,ballistic: ecks vs. sever,4.3,"https://m.media-amazon.com/images/M/MV5BMTkwMDk0OTcyMF5BMl5BanBnXkFtZTYwNzcxMDg5._V1_SY150_CR0,0,101,150_.jpg.jpg"
871,871,871,871,Mikael Salomon,Morgan Freeman,Minnie Driver,Randy Quaid,Action Crime Drama Thriller,hard rain,5.7,https://m.media-amazon.com/images/M/MV5BZWVlYTJjNjEtNzY2Yy00YzA0LWEwMjMtOGFjNjIwYTk1ZDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
872,872,872,872,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,Action Adventure Animation Comedy Crime Family Fantasy,osmosis jones,6.2,"https://m.media-amazon.com/images/M/MV5BMTk5NTg2NzM0OV5BMl5BanBnXkFtZTYwNTk5Mjg5._V1_SY150_CR0,0,101,150_.jpg.jpg"
873,873,873,873,Will Finn,Lea Michele,Oliver Platt,Jim Belushi,Adventure Animation Family Fantasy Musical,legends of oz: dorothy's return,5.9,https://m.media-amazon.com/images/M/MV5BMTQ0Nzg3ODc1NF5BMl5BanBnXkFtZTgwNTYzNjQzMTE@.jpg
874,874,874,874,Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller,blackhat,5.4,https://m.media-amazon.com/images/M/MV5BMTg1NDUyMzk5NV5BMl5BanBnXkFtZTgwOTk1NzUxMzE@.jpg
875,875,875,875,Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorrow,5.8,https://m.media-amazon.com/images/M/MV5BMTM0NDQzMDA1NF5BMl5BanBnXkFtZTcwNTU3ODAzMw@@.jpg
876,876,876,876,Michael Caton-Jones,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller,basic instinct 2,4.9,https://m.media-amazon.com/images/M/MV5BMTkzNzM3ODY3Nl5BMl5BanBnXkFtZTcwNzMyNDcyNA@@.jpg
877,877,877,877,Mikael Hýýfstrýým,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller,escape plan,6.7,https://m.media-amazon.com/images/M/MV5BMzllMmUxN2UtNmM3YS00NGU1LThhYjUtYmY3YTc0OTVlMzJiXkEyXkFqcGdeQXVyMjMwNDgzNjc@.jpg
878,878,878,878,Renny Harlin,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy,the legend of hercules,4.7,https://m.media-amazon.com/images/M/MV5BMTQwMjEyODQxMV5BMl5BanBnXkFtZTgwMDQxMjE3MDE@.jpg
879,879,879,879,Phil Alden Robinson,Morgan Freeman,Bruce McGill,Philip Baker Hall,Action Drama Thriller,the sum of all fears,6.3,https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
880,880,880,880,David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance,the twilight saga: eclipse,6.2,https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@.jpg
881,881,881,881,Frank Oz,Robert De Niro,Marlon Brando,Gary Farmer,Crime Drama Thriller,the score,6.7,https://m.media-amazon.com/images/M/MV5BZDNjYmY1ZDEtM2I3YS00MDhmLTk5NDYtYzU5MTA4ZjIyYzJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
882,882,882,882,Pierre Coffin,Steve Carell,Miranda Cosgrove,Jack McBrayer,Animation Comedy Family,despicable me,7.2,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@.jpg
883,883,883,883,Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller,money train,5.8,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg
884,884,884,884,Seth MacFarlane,Liam Neeson,Morgan Freeman,Seth MacFarlane,Comedy,ted 2,6.2,https://m.media-amazon.com/images/M/MV5BMjEwMDg3MDk1NF5BMl5BanBnXkFtZTgwNjYyODA1NTE@.jpg
885,885,885,885,Alejandro Amenýýbar,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance,agora,6.9,"https://m.media-amazon.com/images/M/MV5BOThmZGM4OWQtZTk5Zi00YmFlLTg5MWQtNzNlNDc0OTdjNjdmXkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_SY150_CR5,0,101,150_.jpg.jpg"
886,886,886,886,Kinka Usher,Janeane Garofalo,Wes Studi,Eddie Izzard,Action Comedy Fantasy Sci-Fi,mystery men,5.8,https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@.jpg
887,887,887,887,Bobby Farrelly,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Comedy Romance,hall pass,5.6,https://m.media-amazon.com/images/M/MV5BMTc4MzIxNTYwNl5BMl5BanBnXkFtZTcwNzE4MjE0NA@@.jpg
888,888,888,888,Michael Mann,Al Pacino,Rip Torn,Debi Mazar,Biography Drama Thriller,the insider,7.4,https://m.media-amazon.com/images/M/MV5BODg0YjAzNDQtOGFkMi00Yzk2LTg1NzYtYTNjY2UwZTM2ZDdkL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
889,889,889,889,Craig Gillespie,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller,the finest hours,6.5,https://m.media-amazon.com/images/M/MV5BNTY1MDU1NzYzN15BMl5BanBnXkFtZTgwOTA0MDQyNzE@.jpg
890,890,890,890,Ridley Scott,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action Drama Thriller,body of lies,6.6,https://m.media-amazon.com/images/M/MV5BMTgzOTY3MTM0OV5BMl5BanBnXkFtZTcwNjc5MTI5MQ@@.jpg
891,891,891,891,Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,Comedy,dinner for schmucks,5.6,https://m.media-amazon.com/images/M/MV5BOTk5MTYzNTIyMl5BMl5BanBnXkFtZTcwOTM3MTQ2Mw@@.jpg
892,892,892,892,Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action Fantasy Horror,abraham lincoln: vampire hunter,5.6,https://m.media-amazon.com/images/M/MV5BNjY2Mzc0MDA4NV5BMl5BanBnXkFtZTcwOTg5OTcxNw@@.jpg
893,893,893,893,Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,Action Crime Romance Thriller,entrapment,6.1,https://m.media-amazon.com/images/M/MV5BODgyMmE3YWQtNDE4Yy00ODExLThmNDUtYmM4ZTk2ZTVjNDEzL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@.jpg
894,894,894,894,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller,the x files,6.8,https://m.media-amazon.com/images/M/MV5BZDA0MmM4YzUtMzYwZC00OGI2LWE0ODctNzNhNTkwN2FmNTVhXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
895,895,895,895,Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War,the last legion,5.5,https://m.media-amazon.com/images/M/MV5BNmJhOTMyMTMtMDc0Yi00YTg2LWE0MWUtYWY0OTBmZTMzMmU2XkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg
896,896,896,896,Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War,saving private ryan,8.2,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg
897,897,897,897,Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller,need for speed,6.3,https://m.media-amazon.com/images/M/MV5BMTQ3ODY4NzYzOF5BMl5BanBnXkFtZTgwNjI3OTE4MDE@.jpg
898,898,898,898,Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance,what women want,6.4,https://m.media-amazon.com/images/M/MV5BMTQ4OTM2NDY2OV5BMl5BanBnXkFtZTcwMDQzMjI0NA@@.jpg
